State,City,UnleadedPetrol,PremiumUnleadedPetrol,UnleadedPetrol E10,UnleadedPetrol 98,Diesel,BiodieselB5,Date
SOUTH AUSTRALIA,PORT LINCOLN,170.61,N/A,N/A,195.92,182.33,N/A,2026-07-01
TASMANIA,DEVONPORT,167.30,178.86,N/A,N/A,180.19,N/A,2026-07-01
TASMANIA,HOBART,167.39,178.92,N/A,194.61,179.53,N/A,2026-07-01
VICTORIA,GEELONG,160.34,169.32,N/A,183.69,172.81,N/A,2026-07-01
VICTORIA,MELBOURNE,160.34,169.32,161.59,183.69,172.81,N/A,2026-07-01
WESTERN AUSTRALIA,BROOME,208.60,218.60,N/A,N/A,204.22,N/A,2026-07-01
WESTERN AUSTRALIA,COCOS Island,N/A,384.64,N/A,N/A,222.70,N/A,2026-07-01
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,193.86,N/A,2026-07-01
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,179.16,N/A,2026-07-01
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,193.86,N/A,2026-07-01
WESTERN AUSTRALIA,PERTH,162.21,175.32,N/A,189.52,172.96,N/A,2026-07-01
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,201.16,N/A,2026-07-01
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,156.43,N/A,2026-06-30
NEW SOUTH WALES,SYDNEY,146.27,155.32,146.66,169.15,156.35,N/A,2026-06-30
NORTHERN TERRITORY,DARWIN,150.44,161.67,N/A,N/A,162.13,N/A,2026-06-30
QUEENSLAND,BRISBANE,144.54,153.51,145.82,167.55,155.16,165.24,2026-06-30
QUEENSLAND,CAIRNS,151.56,164.86,N/A,N/A,160.73,N/A,2026-06-30
QUEENSLAND,GLADSTONE,151.37,158.75,N/A,N/A,159.17,N/A,2026-06-30
QUEENSLAND,MACKAY,151.79,N/A,N/A,N/A,159.06,N/A,2026-06-30
QUEENSLAND,TOWNSVILLE,151.29,160.45,N/A,176.66,160.45,N/A,2026-06-30
QUEENSLAND,WEIPA,174.50,N/A,N/A,N/A,170.78,N/A,2026-06-30
SOUTH AUSTRALIA,ADELAIDE,145.93,154.34,147.73,169.32,156.89,N/A,2026-06-30
SOUTH AUSTRALIA,PORT LINCOLN,153.85,N/A,N/A,179.14,164.71,N/A,2026-06-30
TASMANIA,DEVONPORT,150.45,161.98,N/A,N/A,162.51,N/A,2026-06-30
TASMANIA,HOBART,150.54,162.03,N/A,177.72,161.81,N/A,2026-06-30
VICTORIA,GEELONG,143.75,152.70,N/A,167.06,155.58,N/A,2026-06-30
VICTORIA,MELBOURNE,143.75,152.70,145.00,167.06,155.58,N/A,2026-06-30
WESTERN AUSTRALIA,BROOME,191.84,201.81,N/A,N/A,187.40,N/A,2026-06-30
WESTERN AUSTRALIA,COCOS Island,N/A,369.72,N/A,N/A,207.13,N/A,2026-06-30
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,177.21,N/A,2026-06-30
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,161.63,N/A,2026-06-30
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,177.21,N/A,2026-06-30
WESTERN AUSTRALIA,PERTH,145.57,158.66,N/A,172.83,155.62,N/A,2026-06-30
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,184.10,N/A,2026-06-30
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,153.84,N/A,2026-06-27
NEW SOUTH WALES,SYDNEY,144.73,153.81,145.13,167.61,153.76,N/A,2026-06-27
NORTHERN TERRITORY,DARWIN,148.92,160.18,N/A,N/A,159.54,N/A,2026-06-27
QUEENSLAND,BRISBANE,143.01,152.01,144.28,166.01,152.56,162.67,2026-06-27
QUEENSLAND,CAIRNS,150.01,163.34,N/A,N/A,158.14,N/A,2026-06-27
QUEENSLAND,GLADSTONE,149.81,157.23,N/A,N/A,156.56,N/A,2026-06-27
QUEENSLAND,MACKAY,150.22,N/A,N/A,N/A,156.45,N/A,2026-06-27
QUEENSLAND,TOWNSVILLE,149.74,158.93,N/A,175.10,157.85,N/A,2026-06-27
QUEENSLAND,WEIPA,172.92,N/A,N/A,N/A,168.14,N/A,2026-06-27
SOUTH AUSTRALIA,ADELAIDE,144.39,152.83,146.21,167.79,154.30,N/A,2026-06-27
SOUTH AUSTRALIA,PORT LINCOLN,152.27,N/A,N/A,177.61,162.09,N/A,2026-06-27
TASMANIA,DEVONPORT,148.91,160.46,N/A,N/A,159.90,N/A,2026-06-27
TASMANIA,HOBART,149.00,160.51,N/A,176.17,159.19,N/A,2026-06-27
VICTORIA,GEELONG,142.22,151.21,N/A,165.53,152.99,N/A,2026-06-27
VICTORIA,MELBOURNE,142.22,151.21,143.47,165.53,152.99,N/A,2026-06-27
WESTERN AUSTRALIA,BROOME,190.03,200.04,N/A,N/A,184.77,N/A,2026-06-27
WESTERN AUSTRALIA,COCOS Island,N/A,368.36,N/A,N/A,204.78,N/A,2026-06-27
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,174.64,N/A,2026-06-27
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,159.06,N/A,2026-06-27
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,174.64,N/A,2026-06-27
WESTERN AUSTRALIA,PERTH,144.06,157.17,N/A,171.31,153.03,N/A,2026-06-27
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,181.50,N/A,2026-06-27
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,156.13,N/A,2026-06-26
NEW SOUTH WALES,SYDNEY,147.31,156.42,147.73,170.19,156.06,N/A,2026-06-26
NORTHERN TERRITORY,DARWIN,151.54,162.81,N/A,N/A,161.87,N/A,2026-06-26
QUEENSLAND,BRISBANE,145.62,154.64,146.88,168.63,154.86,164.98,2026-06-26
QUEENSLAND,CAIRNS,152.59,165.95,N/A,N/A,160.44,N/A,2026-06-26
QUEENSLAND,GLADSTONE,152.39,159.84,N/A,N/A,158.86,N/A,2026-06-26
QUEENSLAND,MACKAY,152.80,N/A,N/A,N/A,158.75,N/A,2026-06-26
QUEENSLAND,TOWNSVILLE,152.33,161.52,N/A,177.68,160.15,N/A,2026-06-26
QUEENSLAND,WEIPA,175.48,N/A,N/A,N/A,170.40,N/A,2026-06-26
SOUTH AUSTRALIA,ADELAIDE,146.98,155.45,148.82,170.39,156.59,N/A,2026-06-26
SOUTH AUSTRALIA,PORT LINCOLN,154.86,N/A,N/A,180.20,164.36,N/A,2026-06-26
TASMANIA,DEVONPORT,151.49,163.06,N/A,N/A,162.18,N/A,2026-06-26
TASMANIA,HOBART,151.58,163.12,N/A,178.75,161.48,N/A,2026-06-26
VICTORIA,GEELONG,144.82,153.82,N/A,168.12,155.29,N/A,2026-06-26
VICTORIA,MELBOURNE,144.82,153.82,146.08,168.12,155.29,N/A,2026-06-26
WESTERN AUSTRALIA,BROOME,192.36,202.37,N/A,N/A,187.02,N/A,2026-06-26
WESTERN AUSTRALIA,COCOS Island,N/A,370.75,N/A,N/A,206.87,N/A,2026-06-26
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,176.94,N/A,2026-06-26
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,161.37,N/A,2026-06-26
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,176.94,N/A,2026-06-26
WESTERN AUSTRALIA,PERTH,146.67,159.80,N/A,173.92,155.34,N/A,2026-06-26
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,183.81,N/A,2026-06-26
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,156.97,N/A,2026-06-25
NEW SOUTH WALES,SYDNEY,147.90,157.01,148.30,170.78,156.89,N/A,2026-06-25
NORTHERN TERRITORY,DARWIN,152.10,163.41,N/A,N/A,162.71,N/A,2026-06-25
QUEENSLAND,BRISBANE,146.19,155.23,147.47,169.21,155.71,165.77,2026-06-25
QUEENSLAND,CAIRNS,153.15,166.54,N/A,N/A,161.28,N/A,2026-06-25
QUEENSLAND,GLADSTONE,152.96,160.44,N/A,N/A,159.71,N/A,2026-06-25
QUEENSLAND,MACKAY,153.36,N/A,N/A,N/A,159.60,N/A,2026-06-25
QUEENSLAND,TOWNSVILLE,152.89,162.12,N/A,178.27,161.00,N/A,2026-06-25
QUEENSLAND,WEIPA,176.04,N/A,N/A,N/A,171.24,N/A,2026-06-25
SOUTH AUSTRALIA,ADELAIDE,147.55,156.05,149.38,170.97,157.43,N/A,2026-06-25
SOUTH AUSTRALIA,PORT LINCOLN,155.42,N/A,N/A,180.79,165.21,N/A,2026-06-25
TASMANIA,DEVONPORT,152.06,163.66,N/A,N/A,163.04,N/A,2026-06-25
TASMANIA,HOBART,152.15,163.71,N/A,179.33,162.34,N/A,2026-06-25
VICTORIA,GEELONG,145.39,154.42,N/A,168.71,156.13,N/A,2026-06-25
VICTORIA,MELBOURNE,145.39,154.42,146.65,168.71,156.13,N/A,2026-06-25
WESTERN AUSTRALIA,BROOME,192.93,202.96,N/A,N/A,187.87,N/A,2026-06-25
WESTERN AUSTRALIA,COCOS Island,N/A,371.30,N/A,N/A,207.64,N/A,2026-06-25
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,177.78,N/A,2026-06-25
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,162.22,N/A,2026-06-25
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,177.78,N/A,2026-06-25
WESTERN AUSTRALIA,PERTH,147.25,160.40,N/A,174.52,156.20,N/A,2026-06-25
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,184.66,N/A,2026-06-25
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,157.80,N/A,2026-06-24
NEW SOUTH WALES,SYDNEY,146.94,156.08,147.35,169.83,157.72,N/A,2026-06-24
NORTHERN TERRITORY,DARWIN,151.13,162.46,N/A,N/A,163.53,N/A,2026-06-24
QUEENSLAND,BRISBANE,145.22,154.29,146.51,168.26,156.53,166.55,2026-06-24
QUEENSLAND,CAIRNS,152.20,165.61,N/A,N/A,162.11,N/A,2026-06-24
QUEENSLAND,GLADSTONE,151.99,159.50,N/A,N/A,160.53,N/A,2026-06-24
QUEENSLAND,MACKAY,152.39,N/A,N/A,N/A,160.42,N/A,2026-06-24
QUEENSLAND,TOWNSVILLE,151.93,161.18,N/A,177.32,161.82,N/A,2026-06-24
QUEENSLAND,WEIPA,175.10,N/A,N/A,N/A,172.08,N/A,2026-06-24
SOUTH AUSTRALIA,ADELAIDE,146.60,155.11,148.41,170.03,158.27,N/A,2026-06-24
SOUTH AUSTRALIA,PORT LINCOLN,154.46,N/A,N/A,179.84,166.05,N/A,2026-06-24
TASMANIA,DEVONPORT,151.11,162.72,N/A,N/A,163.87,N/A,2026-06-24
TASMANIA,HOBART,151.20,162.78,N/A,178.39,163.16,N/A,2026-06-24
VICTORIA,GEELONG,144.42,153.47,N/A,167.75,156.96,N/A,2026-06-24
VICTORIA,MELBOURNE,144.42,153.47,145.68,167.75,156.96,N/A,2026-06-24
WESTERN AUSTRALIA,BROOME,192.09,202.15,N/A,N/A,188.71,N/A,2026-06-24
WESTERN AUSTRALIA,COCOS Island,N/A,370.45,N/A,N/A,208.39,N/A,2026-06-24
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,178.60,N/A,2026-06-24
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,163.03,N/A,2026-06-24
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,178.60,N/A,2026-06-24
WESTERN AUSTRALIA,PERTH,146.29,159.47,N/A,173.56,157.03,N/A,2026-06-24
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,185.48,N/A,2026-06-24
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,160.48,N/A,2026-06-23
NEW SOUTH WALES,SYDNEY,148.26,157.44,148.67,171.17,160.40,N/A,2026-06-23
NORTHERN TERRITORY,DARWIN,152.43,163.79,N/A,N/A,166.19,N/A,2026-06-23
QUEENSLAND,BRISBANE,146.53,155.63,147.81,169.59,159.20,169.08,2026-06-23
QUEENSLAND,CAIRNS,153.49,166.96,N/A,N/A,164.78,N/A,2026-06-23
QUEENSLAND,GLADSTONE,153.32,160.85,N/A,N/A,163.22,N/A,2026-06-23
QUEENSLAND,MACKAY,153.73,N/A,N/A,N/A,163.11,N/A,2026-06-23
QUEENSLAND,TOWNSVILLE,153.23,162.54,N/A,178.66,164.49,N/A,2026-06-23
QUEENSLAND,WEIPA,176.44,N/A,N/A,N/A,174.78,N/A,2026-06-23
SOUTH AUSTRALIA,ADELAIDE,147.92,156.46,149.72,171.36,160.94,N/A,2026-06-23
SOUTH AUSTRALIA,PORT LINCOLN,155.78,N/A,N/A,181.17,168.73,N/A,2026-06-23
TASMANIA,DEVONPORT,152.44,164.10,N/A,N/A,166.55,N/A,2026-06-23
TASMANIA,HOBART,152.53,164.15,N/A,179.74,165.85,N/A,2026-06-23
VICTORIA,GEELONG,145.75,154.83,N/A,169.09,159.63,N/A,2026-06-23
VICTORIA,MELBOURNE,145.75,154.83,147.00,169.09,159.63,N/A,2026-06-23
WESTERN AUSTRALIA,BROOME,193.59,203.68,N/A,N/A,191.40,N/A,2026-06-23
WESTERN AUSTRALIA,COCOS Island,N/A,371.65,N/A,N/A,210.80,N/A,2026-06-23
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,181.26,N/A,2026-06-23
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,165.69,N/A,2026-06-23
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,181.26,N/A,2026-06-23
WESTERN AUSTRALIA,PERTH,147.59,160.79,N/A,174.88,159.69,N/A,2026-06-23
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,188.13,N/A,2026-06-23
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,165.57,N/A,2026-06-20
NEW SOUTH WALES,SYDNEY,151.32,160.50,151.71,174.25,165.52,N/A,2026-06-20
NORTHERN TERRITORY,DARWIN,155.47,166.84,N/A,N/A,171.26,N/A,2026-06-20
QUEENSLAND,BRISBANE,149.60,158.70,150.87,172.67,164.32,173.95,2026-06-20
QUEENSLAND,CAIRNS,156.57,170.04,N/A,N/A,169.90,N/A,2026-06-20
QUEENSLAND,GLADSTONE,156.40,163.93,N/A,N/A,168.31,N/A,2026-06-20
QUEENSLAND,MACKAY,156.81,N/A,N/A,N/A,168.20,N/A,2026-06-20
QUEENSLAND,TOWNSVILLE,156.31,165.62,N/A,181.75,169.61,N/A,2026-06-20
QUEENSLAND,WEIPA,179.54,N/A,N/A,N/A,179.93,N/A,2026-06-20
SOUTH AUSTRALIA,ADELAIDE,150.99,159.53,152.79,174.44,166.07,N/A,2026-06-20
SOUTH AUSTRALIA,PORT LINCOLN,158.87,N/A,N/A,184.25,173.87,N/A,2026-06-20
TASMANIA,DEVONPORT,155.51,167.17,N/A,N/A,171.68,N/A,2026-06-20
TASMANIA,HOBART,155.60,167.22,N/A,182.83,170.97,N/A,2026-06-20
VICTORIA,GEELONG,148.80,157.88,N/A,172.16,164.73,N/A,2026-06-20
VICTORIA,MELBOURNE,148.80,157.88,150.05,172.16,164.73,N/A,2026-06-20
WESTERN AUSTRALIA,BROOME,196.97,207.06,N/A,N/A,196.56,N/A,2026-06-20
WESTERN AUSTRALIA,COCOS Island,N/A,374.42,N/A,N/A,215.42,N/A,2026-06-20
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,186.33,N/A,2026-06-20
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,170.78,N/A,2026-06-20
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,186.33,N/A,2026-06-20
WESTERN AUSTRALIA,PERTH,150.62,163.83,N/A,177.93,164.77,N/A,2026-06-20
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,193.24,N/A,2026-06-20
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,170.06,N/A,2026-06-19
NEW SOUTH WALES,SYDNEY,154.12,163.30,154.51,177.05,169.99,N/A,2026-06-19
NORTHERN TERRITORY,DARWIN,158.27,169.62,N/A,N/A,175.71,N/A,2026-06-19
QUEENSLAND,BRISBANE,152.39,161.49,153.66,175.46,168.80,178.19,2026-06-19
QUEENSLAND,CAIRNS,159.38,172.85,N/A,N/A,174.36,N/A,2026-06-19
QUEENSLAND,GLADSTONE,159.23,166.75,N/A,N/A,172.79,N/A,2026-06-19
QUEENSLAND,MACKAY,159.63,N/A,N/A,N/A,172.68,N/A,2026-06-19
QUEENSLAND,TOWNSVILLE,159.12,168.43,N/A,184.57,174.08,N/A,2026-06-19
QUEENSLAND,WEIPA,182.38,N/A,N/A,N/A,184.46,N/A,2026-06-19
SOUTH AUSTRALIA,ADELAIDE,153.79,162.33,155.60,177.24,170.54,N/A,2026-06-19
SOUTH AUSTRALIA,PORT LINCOLN,161.70,N/A,N/A,187.06,178.37,N/A,2026-06-19
TASMANIA,DEVONPORT,158.32,169.97,N/A,N/A,176.17,N/A,2026-06-19
TASMANIA,HOBART,158.41,170.03,N/A,185.64,175.46,N/A,2026-06-19
VICTORIA,GEELONG,151.59,160.68,N/A,174.96,169.20,N/A,2026-06-19
VICTORIA,MELBOURNE,151.59,160.68,152.83,174.96,169.20,N/A,2026-06-19
WESTERN AUSTRALIA,BROOME,200.11,210.20,N/A,N/A,201.09,N/A,2026-06-19
WESTERN AUSTRALIA,COCOS Island,N/A,376.95,N/A,N/A,219.46,N/A,2026-06-19
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,190.78,N/A,2026-06-19
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,175.24,N/A,2026-06-19
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,190.78,N/A,2026-06-19
WESTERN AUSTRALIA,PERTH,153.41,166.62,N/A,180.72,169.22,N/A,2026-06-19
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,197.69,N/A,2026-06-19
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,174.45,N/A,2026-06-18
NEW SOUTH WALES,SYDNEY,156.60,165.77,156.98,179.51,174.38,N/A,2026-06-18
NORTHERN TERRITORY,DARWIN,160.71,172.05,N/A,N/A,180.07,N/A,2026-06-18
QUEENSLAND,BRISBANE,154.87,163.96,156.12,177.93,173.18,182.37,2026-06-18
QUEENSLAND,CAIRNS,161.84,175.32,N/A,N/A,178.75,N/A,2026-06-18
QUEENSLAND,GLADSTONE,161.69,169.21,N/A,N/A,177.18,N/A,2026-06-18
QUEENSLAND,MACKAY,162.11,N/A,N/A,N/A,177.07,N/A,2026-06-18
QUEENSLAND,TOWNSVILLE,161.58,170.91,N/A,187.04,178.46,N/A,2026-06-18
QUEENSLAND,WEIPA,184.88,N/A,N/A,N/A,188.87,N/A,2026-06-18
SOUTH AUSTRALIA,ADELAIDE,156.26,164.79,158.07,179.71,174.94,N/A,2026-06-18
SOUTH AUSTRALIA,PORT LINCOLN,164.19,N/A,N/A,189.52,182.77,N/A,2026-06-18
TASMANIA,DEVONPORT,160.80,172.45,N/A,N/A,180.57,N/A,2026-06-18
TASMANIA,HOBART,160.89,172.50,N/A,188.11,179.86,N/A,2026-06-18
VICTORIA,GEELONG,154.07,163.14,N/A,177.41,173.59,N/A,2026-06-18
VICTORIA,MELBOURNE,154.07,163.14,155.30,177.41,173.59,N/A,2026-06-18
WESTERN AUSTRALIA,BROOME,202.90,212.96,N/A,N/A,205.50,N/A,2026-06-18
WESTERN AUSTRALIA,COCOS Island,N/A,379.16,N/A,N/A,223.42,N/A,2026-06-18
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,195.13,N/A,2026-06-18
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,179.60,N/A,2026-06-18
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,195.13,N/A,2026-06-18
WESTERN AUSTRALIA,PERTH,155.86,169.05,N/A,183.15,173.59,N/A,2026-06-18
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,202.06,N/A,2026-06-18
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,179.32,N/A,2026-06-17
NEW SOUTH WALES,SYDNEY,159.28,168.43,159.67,182.18,179.27,N/A,2026-06-17
NORTHERN TERRITORY,DARWIN,163.38,174.71,N/A,N/A,184.94,N/A,2026-06-17
QUEENSLAND,BRISBANE,157.55,166.62,158.81,180.59,178.07,187.02,2026-06-17
QUEENSLAND,CAIRNS,164.54,178.00,N/A,N/A,183.63,N/A,2026-06-17
QUEENSLAND,GLADSTONE,164.38,171.90,N/A,N/A,182.06,N/A,2026-06-17
QUEENSLAND,MACKAY,164.80,N/A,N/A,N/A,181.95,N/A,2026-06-17
QUEENSLAND,TOWNSVILLE,164.27,173.59,N/A,189.72,183.35,N/A,2026-06-17
QUEENSLAND,WEIPA,187.59,N/A,N/A,N/A,193.80,N/A,2026-06-17
SOUTH AUSTRALIA,ADELAIDE,158.95,167.46,160.74,182.38,179.85,N/A,2026-06-17
SOUTH AUSTRALIA,PORT LINCOLN,166.88,N/A,N/A,192.19,187.68,N/A,2026-06-17
TASMANIA,DEVONPORT,163.49,175.12,N/A,N/A,185.48,N/A,2026-06-17
TASMANIA,HOBART,163.58,175.18,N/A,190.78,184.78,N/A,2026-06-17
VICTORIA,GEELONG,156.75,165.80,N/A,180.08,178.46,N/A,2026-06-17
VICTORIA,MELBOURNE,156.75,165.80,157.98,180.08,178.46,N/A,2026-06-17
WESTERN AUSTRALIA,BROOME,205.80,215.85,N/A,N/A,210.44,N/A,2026-06-17
WESTERN AUSTRALIA,COCOS Island,N/A,381.57,N/A,N/A,227.85,N/A,2026-06-17
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,200.01,N/A,2026-06-17
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,184.48,N/A,2026-06-17
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,200.01,N/A,2026-06-17
WESTERN AUSTRALIA,PERTH,158.53,171.70,N/A,185.79,178.49,N/A,2026-06-17
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,206.95,N/A,2026-06-17
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,183.84,N/A,2026-06-16
NEW SOUTH WALES,SYDNEY,160.47,169.47,160.85,183.19,183.79,N/A,2026-06-16
NORTHERN TERRITORY,DARWIN,164.55,175.73,N/A,N/A,189.44,N/A,2026-06-16
QUEENSLAND,BRISBANE,158.74,167.65,160.00,181.60,182.59,191.41,2026-06-16
QUEENSLAND,CAIRNS,165.72,179.05,N/A,N/A,188.17,N/A,2026-06-16
QUEENSLAND,GLADSTONE,165.58,172.94,N/A,N/A,186.58,N/A,2026-06-16
QUEENSLAND,MACKAY,166.00,N/A,N/A,N/A,186.47,N/A,2026-06-16
QUEENSLAND,TOWNSVILLE,165.45,174.64,N/A,190.75,187.88,N/A,2026-06-16
QUEENSLAND,WEIPA,188.80,N/A,N/A,N/A,198.34,N/A,2026-06-16
SOUTH AUSTRALIA,ADELAIDE,160.15,168.51,161.93,183.40,184.38,N/A,2026-06-16
SOUTH AUSTRALIA,PORT LINCOLN,168.09,N/A,N/A,193.22,192.21,N/A,2026-06-16
TASMANIA,DEVONPORT,164.70,176.18,N/A,N/A,190.01,N/A,2026-06-16
TASMANIA,HOBART,164.79,176.23,N/A,191.82,189.31,N/A,2026-06-16
VICTORIA,GEELONG,157.93,166.83,N/A,181.08,182.99,N/A,2026-06-16
VICTORIA,MELBOURNE,157.93,166.83,159.16,181.08,182.99,N/A,2026-06-16
WESTERN AUSTRALIA,BROOME,207.21,217.10,N/A,N/A,214.98,N/A,2026-06-16
WESTERN AUSTRALIA,COCOS Island,N/A,382.50,N/A,N/A,231.92,N/A,2026-06-16
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,204.50,N/A,2026-06-16
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,188.98,N/A,2026-06-16
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,204.50,N/A,2026-06-16
WESTERN AUSTRALIA,PERTH,159.71,172.72,N/A,186.79,182.96,N/A,2026-06-16
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,211.46,N/A,2026-06-16
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,185.77,N/A,2026-06-13
NEW SOUTH WALES,SYDNEY,159.61,168.47,159.98,182.17,185.71,N/A,2026-06-13
NORTHERN TERRITORY,DARWIN,163.69,174.70,N/A,N/A,191.38,N/A,2026-06-13
QUEENSLAND,BRISBANE,157.88,166.64,159.12,180.57,184.51,193.26,2026-06-13
QUEENSLAND,CAIRNS,164.85,178.02,N/A,N/A,190.09,N/A,2026-06-13
QUEENSLAND,GLADSTONE,164.71,171.92,N/A,N/A,188.51,N/A,2026-06-13
QUEENSLAND,MACKAY,165.13,N/A,N/A,N/A,188.40,N/A,2026-06-13
QUEENSLAND,TOWNSVILLE,164.58,173.62,N/A,189.71,189.81,N/A,2026-06-13
QUEENSLAND,WEIPA,187.96,N/A,N/A,N/A,200.28,N/A,2026-06-13
SOUTH AUSTRALIA,ADELAIDE,159.28,167.50,161.07,182.37,186.32,N/A,2026-06-13
SOUTH AUSTRALIA,PORT LINCOLN,167.23,N/A,N/A,192.18,194.15,N/A,2026-06-13
TASMANIA,DEVONPORT,163.85,175.18,N/A,N/A,191.94,N/A,2026-06-13
TASMANIA,HOBART,163.93,175.23,N/A,190.80,191.24,N/A,2026-06-13
VICTORIA,GEELONG,157.07,165.83,N/A,180.06,184.91,N/A,2026-06-13
VICTORIA,MELBOURNE,157.07,165.83,158.30,180.06,184.91,N/A,2026-06-13
WESTERN AUSTRALIA,BROOME,206.44,216.18,N/A,N/A,216.93,N/A,2026-06-13
WESTERN AUSTRALIA,COCOS Island,N/A,381.57,N/A,N/A,233.68,N/A,2026-06-13
WESTERN AUSTRALIA,DAMPIER,N/A,N/A,N/A,N/A,206.43,N/A,2026-06-13
WESTERN AUSTRALIA,ESPERANCE,N/A,N/A,N/A,N/A,190.91,N/A,2026-06-13
WESTERN AUSTRALIA,KING BAY,N/A,N/A,N/A,N/A,206.43,N/A,2026-06-13
WESTERN AUSTRALIA,PERTH,158.83,171.70,N/A,185.76,184.90,N/A,2026-06-13
WESTERN AUSTRALIA,PORT HEDLAND,N/A,N/A,N/A,N/A,213.37,N/A,2026-06-13
NEW SOUTH WALES,NEWCASTLE,N/A,N/A,N/A,N/A,188.61,N/A,2026-06-12
NEW SOUTH WALES,SYDNEY,159.56,168.27,159.93,181.95,188.55,N/A,2026-06-12
NORTHERN TERRITORY,DARWIN,163.60,174.47,N/A,N/A,194.21,N/A,2026-06-12
QUEENSLAND,BRISBANE,157.82,166.43,159.06,180.33,187.36,195.95,2026-06-12
QUEENSLAND,CAIRNS,164.78,177.82,N/A,N/A,192.92,N/A,2026-06-12
QUEENSLAND,GLADSTONE,164.65,171.71,N/A,N/A,191.33,N/A,2026-06-12
