date,state,location,fuel_type,price_cpl
2025-12-13,QLD,Cairns,ulp91,164.8
2025-12-13,QLD,Gladstone,diesel,164.2
2025-12-13,QLD,Gladstone,p95,172.3
2025-12-13,QLD,Gladstone,ulp91,164.2
2025-12-13,QLD,Mackay,diesel,164.4
2025-12-13,QLD,Mackay,ulp91,164.8
2025-12-13,QLD,Townsville,diesel,165.4
2025-12-13,QLD,Townsville,p95,174.0
2025-12-13,QLD,Townsville,p98,191.1
2025-12-13,QLD,Townsville,ulp91,164.1
2025-12-13,QLD,Weipa,diesel,175.2
2025-12-13,QLD,Weipa,ulp91,187.2
2025-12-13,SA,Adelaide,diesel,162.2
2025-12-13,SA,Adelaide,e10,161.3
2025-12-13,SA,Adelaide,p95,168.9
2025-12-13,SA,Adelaide,p98,184.2
2025-12-13,SA,Adelaide,ulp91,159.5
2025-12-13,SA,Port Lincoln,diesel,169.3
2025-12-13,SA,Port Lincoln,p98,193.3
2025-12-13,SA,Port Lincoln,ulp91,165.9
2025-12-13,TAS,Devonport,diesel,167.9
2025-12-13,TAS,Devonport,p95,174.6
2025-12-13,TAS,Devonport,ulp91,164.1
2025-12-13,TAS,Hobart,diesel,167.2
2025-12-13,TAS,Hobart,p95,174.7
2025-12-13,TAS,Hobart,p98,190.7
2025-12-13,TAS,Hobart,ulp91,164.2
2025-12-13,VIC,Geelong,diesel,160.8
2025-12-13,VIC,Geelong,p95,165.6
2025-12-13,VIC,Geelong,p98,180.2
2025-12-13,VIC,Geelong,ulp91,157.6
2025-12-13,VIC,Melbourne,diesel,160.8
2025-12-13,VIC,Melbourne,e10,158.7
2025-12-13,VIC,Melbourne,p95,165.6
2025-12-13,VIC,Melbourne,p98,180.2
2025-12-13,VIC,Melbourne,ulp91,157.6
2025-12-13,WA,Broome,diesel,192.2
2025-12-13,WA,Broome,p95,213.1
2025-12-13,WA,Broome,ulp91,203.3
2025-12-13,WA,Cocos Island,diesel,211.6
2025-12-13,WA,Cocos Island,p95,375.7
2025-12-13,WA,Dampier,diesel,182.1
2025-12-13,WA,Esperance,diesel,164.9
2025-12-13,WA,King Bay,diesel,182.1
2025-12-13,WA,Perth,diesel,161.2
2025-12-13,WA,Perth,p95,171.5
2025-12-13,WA,Perth,p98,186.0
2025-12-13,WA,Perth,ulp91,159.4
2025-12-13,WA,Port Hedland,diesel,189.5
2025-12-13,WA,Port Hedland,ulp91,186.5
2025-12-16,NSW,Newcastle,diesel,161.0
2025-12-16,NSW,Sydney,diesel,161.0
2025-12-16,NSW,Sydney,e10,160.5
2025-12-16,NSW,Sydney,p95,168.1
2025-12-16,NSW,Sydney,p98,182.2
2025-12-16,NSW,Sydney,ulp91,160.0
2025-12-16,NT,Darwin,diesel,166.7
2025-12-16,NT,Darwin,p95,173.8
2025-12-16,NT,Darwin,ulp91,164.6
2025-12-16,QLD,Brisbane,b5,168.2
2025-12-16,QLD,Brisbane,diesel,159.7
2025-12-16,QLD,Brisbane,e10,159.4
2025-12-16,QLD,Brisbane,p95,166.3
2025-12-16,QLD,Brisbane,p98,180.6
2025-12-16,QLD,Brisbane,ulp91,158.3
2025-12-16,QLD,Cairns,diesel,165.2
2025-12-16,QLD,Cairns,p95,178.6
2025-12-16,QLD,Cairns,ulp91,164.6
2025-12-16,QLD,Gladstone,diesel,163.5
2025-12-16,QLD,Gladstone,p95,172.2
2025-12-16,QLD,Gladstone,ulp91,164.0
2025-12-16,QLD,Mackay,diesel,163.7
2025-12-16,QLD,Mackay,ulp91,164.7
2025-12-16,QLD,Townsville,diesel,164.7
2025-12-16,QLD,Townsville,p95,173.8
2025-12-16,QLD,Townsville,p98,190.9
2025-12-16,QLD,Townsville,ulp91,163.9
2025-12-16,QLD,Weipa,diesel,174.5
2025-12-16,QLD,Weipa,ulp91,187.0
2025-12-16,SA,Adelaide,diesel,161.5
2025-12-16,SA,Adelaide,e10,161.1
2025-12-16,SA,Adelaide,p95,168.8
2025-12-16,SA,Adelaide,p98,184.0
2025-12-16,SA,Adelaide,ulp91,159.4
2025-12-16,SA,Port Lincoln,diesel,168.6
2025-12-16,SA,Port Lincoln,p98,193.2
2025-12-16,SA,Port Lincoln,ulp91,165.7
2025-12-16,TAS,Devonport,diesel,167.2
2025-12-16,TAS,Devonport,p95,174.5
2025-12-16,TAS,Devonport,ulp91,163.9
2025-12-16,TAS,Hobart,diesel,166.5
